UEI,Start_Date,End_Date,Duration,Main_Cause,Location,Districts,State,Latitude,Longitude,Severity,Area_Affected,Human_fatality,Human_injured,Human_Displaced,Animal_Fatality,Description_of_Casualties_injured,Extent_of_damage ,Event_Source,Event_Souce_ID
219.142.78.162-10.42.0.42-80-60034-6,07-06-21,07-06-21,0,Heavy Rain,NA,"Rewa, Sehore ",MADHYA PRADESH,NA,NA,NA,NA,6,NA,NA,NA,"6 person died Rewa ?üí????õ?ü?õ?õÉ?™è≠???™?ü?õ?õÉ???™??É?? 5, Sehore - 1",NA,IMD,NA
172.217.5.228-10.42.0.211-443-36180-6,07-07-21,07-07-21,0,Heavy Rain,NA,"Bhind, Panna, Rewa ",MADHYA PRADESH,NA,NA,NA,NA,3,NA,NA,NA,3 persons died,i) Damage to 2 dams reported. ii) More than 50 villages in Tyonthar and Sirmaur blocks of Rewa Dist. cut off from the other parts of the state due to rising water in the river ,IMD,NA
10.42.0.42-72.21.207.79-52396-443-6,07-08-21,07-10-21,61,Heavy Rain,NA,"Bhopal, Damoh, Malda, Morena, Seoni",MADHYA PRADESH,NA,NA,NA,NA,11,NA,NA,NA,11 persons died,The excessive rains have affected at least 3 lakh 46 thousand people,IMD,NA
10.42.0.211-52.38.131.10-44973-443-6,08-02-21,08-02-21,0,Heavy Rain,NA,Vidisha,MADHYA PRADESH,NA,NA,NA,NA,4,NA,NA,NA,4 persons died,NA,IMD,NA
182.22.24.124-10.42.0.211-443-53943-6,19-08-21,20-08-21,1,Cyclone and Flood,NA,"Raisen, Rewa, Sagar, Satna, Vidisha",MADHYA PRADESH,NA,NA,NA,NA,23,NA,NA,NA,23 persons died,"i) More than one lakh people affected. ii) Damage to many houses, Cow-sheds reported. iii) Bridge washed away",IMD,NA
202.77.129.185-10.42.0.211-80-43573-6,21-05-21,21-05-21,0,Heavy Rain,NA,"Bhandara, Gadchiroli, Gondia ",MAHARASHTRA,NA,NA,NA,NA,2,1,NA,100,i)2 person died & one girl injured due to wall collapsed in Gondia Dist. ii) 100 hens perished.,i) Damage to 568 houses reported. ii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.,IMD,NA
10.42.0.151-54.239.17.113-43022-443-6,06-06-21,06-06-21,0,Cyclone and Flood,NA,Parts of Maharashtra,MAHARASHTRA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD,NA
180.149.153.234-10.42.0.211-80-39432-6,20-06-21,20-06-21,0,Cyclone and Flood,NA,Mumbai,MAHARASHTRA,NA,NA,NA,NA,1,NA,NA,NA,One person died.,22 trees uprooted causing disruption in vehicular traffic. ,IMD,NA
205.204.101.182-10.42.0.211-443-55483-6,25-06-21,25-06-21,0,Cyclone and Flood,NA,Mumbai,MAHARASHTRA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died,NA,IMD,NA
169.55.75.105-10.42.0.151-5222-38593-6,07-01-21,07-03-21,60,Heavy Rain,NA,"Ahmednagar, Dhule, Jalgaon, Mumbai, Nandurbar, Nashik, Pune",MAHARASHTRA,NA,NA,NA,NA,11,NA,NA,NA,11 person died,NA,IMD,NA
171.84.4.11-10.42.0.211-80-39652-6,07-08-21,07-10-21,61,Cyclone and Flood,NA,"Chandrapur, Gadchiroli, Nandurbar",MAHARASHTRA,NA,NA,NA,NA,9,2,NA,50,Total 9 persons died. 6 persons died in Chandrapur Dist. due to flood in Wainganga river. While 3 persons died & 2 others missing in Pachorabari village of Nandurbar Dist. 50 livestock perished,i) Damage to 200 houses reported. ii) Damage to railway track reported.,IMD,NA
10.42.0.1-10.42.0.42-53-17257-17,07-11-21,07-12-21,30,Heavy Rain,NA,Kolhapur & Konkan region,MAHARASHTRA,NA,NA,NA,NA,1,NA,NA,NA,One person died in Konkan region.,i) 31 roads including 22 main roads and 9 highways are completely under water in Kolhapur Dist.  ii) Around 80 villages lost contact from rest of the state in Konkan region.,IMD,NA
10.42.0.211-10.42.0.1-28931-53-17,07-12-21,07-12-21,0,Cyclone and Flood,NA,"Akola, Amravati, Chandrapur, Gadchiroli Yavotmal, Washim",MAHARASHTRA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died,More than 100 villages marooned.,IMD,NA
10.42.0.151-23.208.35.210-45546-80-6,28-07-21,28-07-21,0,Heavy Rain,NA,"Akola, Amravati ",MAHARASHTRA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died,Damage to many house,IMD,NA
10.42.0.211-104.97.95.172-45821-80-6,30-07-21,31-07-21,1,Cyclone and Flood,NA,Mumbai,MAHARASHTRA,NA,NA,NA,NA,1,4,NA,NA,One person died as tree fell on him & 4 others injured. ,i) Damage to Ground-plus-three structure building & security cabin reported. ii) A car & an auto-rickshaw damaged as tree fell on it.,IMD,NA
10.42.0.42-66.228.48.38-36441-123-17,08-01-21,08-01-21,0,Heavy Rain,NA,Thane,MAHARASHTRA,NA,NA,NA,NA,9,10,NA,NA,9 persons died & 10 others injured. ,i) Dilapidated building collapsed. ii) Water logging in low lying areas reported,IMD,NA
10.42.0.151-52.41.146.210-56299-443-6,08-02-21,08-02-21,0,Heavy Rain,NA,Nashik,MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA,5 persons drowned. ,NA,IMD,NA
10.42.0.211-10.42.0.1-22725-53-17,08-03-21,08-03-21,0,Cyclone and Flood,NA,Raigad ,MAHARASHTRA,NA,NA,NA,NA,27,14,NA,NA,27 persons drowned & 14 others missing.,2 MSRTC (Maharashtra State Road transport Corporation) buses & several other vehicles washed away as a bridge on the Savitri River collapsed near Mahad in Raigad district of Maharashtra on Mumbai - Goa highway on 2nd August at late night,IMD,NA
10.42.0.211-10.42.0.1-30330-53-17,24-09-21,26-09-21,2,Heavy Rain,NA,Parts of Maharashtra,MAHARASHTRA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died,NA,IMD,NA
